52|52|54|N|6|51|51|E	place:Exloo2755947
53|18|33|N|6|26|35|E	place:Ezinge2755938
53|13|56|N|6|22|25|E	place:Faan2755935
53|0|19|N|5|26|0|E	place:Ferwoude2755913
53|11|53|N|7|5|1|E	place:Finsterwolde2755905
53|10|1|N|6|43|13|E	place:Foxhol2755853
53|11|15|N|5|32|24|E	place:Franeker2755845
53|0|59|N|5|24|30|E	place:Gaast2755789
53|14|52|N|6|38|55|E	place:Garmerwolde2755728
53|22|5|N|6|42|46|E	place:Garsthuizen2755720
52|44|57|N|6|41|26|E	place:Gees2755664
53|14|24|N|6|12|24|E	place:Gerkesklooster2755574
55|52|12|N|4|16|12|W	place:Glasgow2648579
53|8|18|N|6|37|43|E	place:Glimmen2755495
53|22|20|N|6|48|51|E	place:Godlinze2755489
51|30|0|N|3|53|0|E	place:Goes2755476
52|1|5|N|4|42|20|E	place:Gouda2755420
53|0|54|N|5|31|9|E	place:Greonterp2755343
53|13|0|N|6|34|0|E	place:Groningen2755251
53|15|0|N|6|45|0|E	place:ProvincieGroningen2755249
53|12|33|N|6|16|16|E	place:Grootegast2755204
53|5|41.8|N|5|50|19.9|E	place:Grou2755052
52|23|0|N|4|38|0|E	place:Haarlem2755003
51|21|34|N|7|28|30|E	place:Hagen2912621
53|18|23|N|5|47|8|E	place:Hallum2754930
52|34|0|N|6|36|0|E	place:Hardenberg2754861
53|10|0|N|6|36|0|E	place:Haren2754841
53|11|8|N|6|8|12|E	place:Harkema2754821
53|13|0|N|6|42|0|E	place:Harkstede2754819
53|10|25|N|5|25|38|E	place:Harlingen2754817
53|4|4|N|5|34|6|E	place:Hartwerd2754799
52|46|26|N|6|14|18|E	place:Havelte2754752
52|57|25|N|5|55|31|E	place:Heerenveen2754669
53|11|50|N|6|34|54|E	place:Helpman2754444
53|18|32|N|6|57|52|E	place:Heveskes2754114
52|53|45|N|6|29|50|E	place:Hijken2754092
52|56|34|N|5|24|8|E	place:Hindeloopen2754059
53|21|29|N|6|52|17|E	place:Holwierde2753846
52|43|0|N|6|28|0|E	place:Hoogeveen2753719
53|9|26|N|6|45|12|E	place:Hoogezand2753706
53|13|0|N|6|30|0|E	place:Hoogkerk2753688
52|39|8|N|5|3|59|E	place:Hoorn2753638
53|23|16|N|6|21|32|E	place:Hornhuizen2753604
52|17|58|N|5|15|11|E	place:Huizen2753468
53|11|29|N|5|48|41|E	place:Huizum2753470
45|0|0|N|114|0|0|W	place:Idaho5596512
52|57|52|N|7|6|2|E	place:Jipsingboertange2753246
7|53|0|S|112|22|0|E	place:Jombang1642414
33|55|0|S|18|27|0|E	place:Kaapstad3369157
52|33|0|N|5|54|0|E	place:Kampen2753106
52|12|0|N|4|24|0|E	place:KatwijkaandenRijn2753011
53|7|23|N|6|46|16|E	place:Kiel2752863
53|23|10|N|6|23|26|E	place:Kloosterburen2752627
52|59|54|N|6|30|44|E	place:Kloosterveen2752614
53|10|59|N|6|44|35|E	place:Kolham2752534
53|16|45|N|6|9|3|E	place:Kollum2752524
53|15|45.27|N|6|4|36.44|E	place:Kollumerzwaag2752520
53|8|45|N|6|43|23|E	place:Kropswolde2752217
53|5|36|N|6|26|40|E	place:Langelo2751943
53|9|42|N|6|23|5|E	place:Leek2751834
51|53|38|N|5|5|29|E	place:Leerdam2751808
53|12|0|N|5|47|0|E	place:Leeuwarden2751792
52|9|26|N|4|29|33|E	place:Leiden2751773
53|22|35|N|6|49|59|E	place:Losdorp2751426
53|10|58|N|6|17|57|E	place:Lucaswolde2751404
53|14|0|N|6|15|28|E	place:Lutjegast2751376
53|16|0|N|6|9|50|E	place:AugsbuurtLutjewoude2759614
50|51|0|N|5|41|0|E	place:Maastricht2751283
53|3|18|N|5|24|13|E	place:Makkum2751254
53|9|45|N|6|44|24|E	place:Martenshoek2751115
52|42|0|N|6|11|0|E	place:Meppel2750947
52|41|17|N|7|17|28|E	place:Meppen2871845
53|21|36|N|6|4|4|E	place:Metslawier2750919
53|13|22|N|6|38|11|E	place:Middelbert2750902
53|20|46|N|6|38|29|E	place:Middelstum2750868
52|48|31|N|4|59|54|E	place:Middenmeer2750850
53|11|34|N|7|0|58|E	place:Midwolda2750832
53|10|49|N|6|23|32|E	place:Midwolde2750830
52|56|10|N|6|0|6|E	place:Mildam2750805
53|15|3|N|5|35|42|E	place:Minnertsga2750790
52|54|1|N|5|23|53|E	place:Molkwerum2750647
53|22|21|N|6|5|19|E	place:Morra2750603
53|8|1|N|6|52|7|E	place:Muntendam2750535
2|0|0|S|118|0|0|E	place:Indonesie1643084
53|26|39|N|5|46|22|E	place:Nes2750417
53|9|42|N|6|19|44|E	place:Niebert2750396
52|42|54|N|6|51|45|E	place:NieuwAmsterdam2750375
52|45|0|N|6|58|0|E	place:NieuwDordrecht2750357
53|4|43|N|6|57|51|E	place:NieuwePekela2750272
51|51|15|N|4|8|43|E	place:Nieuwenhoorn2750280
53|14|41|N|6|58|33|E	place:Nieuwolda2750154
53|16|0|N|6|20|25|E	place:Niezijl2750110
52|43|58|N|6|10|3|E	place:Nijeveen2750075
52|47|30|N|6|48|6|E	place:NoordSleen2749830
52|46|1|N|6|52|59|E	place:Noordbarge2749996
53|11|36|N|6|52|27|E	place:Noordbroek2749989
53|14|42|N|6|37|35|E	place:Noorddijk2749981
53|14|37|N|6|34|3|E	place:Noorderhoogebrug2749931
53|15|44|N|6|23|47|E	place:Noordhorn2749875
53|7|15|N|6|40|1|E	place:Noordlaren2749857
52|53|29|N|6|8|32|E	place:Noordwolde2749807
53|16|19|N|6|35|18|E	place:Noordwolde2749806
53|3|58|N|6|27|34|E	place:Norg2749796
53|20|6|N|6|30|54|E	place:Obergum2749742
52|51|3|N|6|50|53|E	place:Odoorn2749734
52|50|28|N|6|47|24|E	place:Odoornerveen2749730
52|11|0|N|4|28|25|E	place:Oegstgeest2749723
53|2|57|N|5|53|48|E	place:Aldeboarn2749669
53|13|10|N|6|20|20|E	place:Oldekerk2749658
53|20|9|N|6|35|16|E	place:Onderdendam2749601
53|9|23|N|6|38|29|E	place:Onnen2749588
51|19|35|N|3|29|35|E	place:Oostburg2749541
51|59|5|N|5|50|40|E	place:Oosterbeek2749503
53|24|0|N|6|45|18|E	place:Oosternieland2749429
53|0|58|N|5|36|1|E	place:Oosthem2749372
52|59|15|N|6|17|29|E	place:GemeenteOoststellingwerf2749339
53|12|9|N|7|2|40|E	place:Oostwold2749325
53|10|21|N|6|11|53|E	place:Opende2749302
52|50|37|N|6|39|35|E	place:Orvelte2749247
53|18|38|N|6|59|49|E	place:Oterdum2749209
53|6|9|N|7|0|24|E	place:OudePekela2749034
53|8|16|N|7|8|24|E	place:Oudeschans2749010
52|56|5|N|5|57|17|E	place:Oudeschoot2749007
0|57|20|S|100|21|38|E	place:Padang1633419
53|8|45|N|6|33|55|E	place:Paterswolde2748702
53|8|52|N|6|29|46|E	place:Peize2748673
53|11|31|N|6|30|41|E	place:Peizermade2748669
48|51|0|N|8|12|0|E	place:Rastatt2850257
6|42|0|S|111|20|0|E	place:Rembangan1629749
53|8|18|N|6|25|57|E	place:Roden2748026
51|31|53|N|4|27|20|E	place:Roosendaal2747930
52|50|14|N|7|2|19|E	place:Roswinkel2747903
51|55|0|N|4|30|0|E	place:Rotterdam2747891
52|45|48|N|6|21|23|E	place:Ruinen2747835
52|43|22|N|6|15|2|E	place:Ruinerwold2747828
40|45|0|N|111|53|0|W	place:SaltLakeCity5780993
53|9|51|N|6|47|18|E	place:Sappemeer2747758
53|17|36|N|6|32|5|	place:Sauwerd2747747
53|12|28|N|6|42|26|E	place:Scharmer2747677
53|10|0|N|6|58|0|E	place:Scheemda2747661
51|55|5|N|4|23|50|E	place:Schiedam2747596
53|28|0|N|6|9|0|E	place:Schiermonnikoog2747591
53|13|58|N|6|48|56|E	place:Schildwolde2747570
53|13|6|N|5|29|4|E	place:Sexbierum2747380
53|5|40|N|6|14|28|E	place:Siegerswoude2747339
52|46|24|N|6|48|7|E	place:Sleen2747182
51|49|20|N|4|46|28|E	place:Sliedrecht2747169
53|13|18|N|6|48|9|E	place:Slochteren2747143
52|53|40|N|5|38|43|E	place:Sloten2747131
52|56|55|N|6|26|54|E	place:Smilde2747076
53|2|0|N|5|40|0|E	place:Sneek2747063
53|19|23|N|6|52|10|E	place:Solwerd2747023
53|23|23|N|6|50|11|E	place:Spijk2746935
52|59|0|N|6|57|0|E	place:Stadskanaal2746860
